product_type,name,brandName,stockStatus,description.short,description.complete,genderLabel,department,pricing.regularPrice.value,pricing.finalPrice.value,pricing.retailPrice.value
SimpleProduct,Citizen Eco-Drive Chronograph Champagne Dial Men's Watch CA0452-01P,Citizen,OUT_OF_STOCK,Citizen CA0452-01P Mens,"Gold-tone stainless steel case with a brown leather strap. Fixed gold-tone stainless steel bezel. Champagne dial with gold-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Chronograph - three sub-dials displaying:  60 second, 60 minute and 24 hour. Citizen Caliber Eco-Drive B612 eco-drive movement. Scratch resistant sapphire crystal. Solid case back. Round case shape, case size: 40 mm. Buckle clasp. Water resistant at 100 meters / 330 feet. Functions: chronograph, date, hour, minute, second, solar-powered. Dress watch style. Watch label: Japan Movt. Citizen Eco-Drive Chronograph Champagne Dial Men's Watch CA0452-01P.",Mens,Watches,454.99,220.0,560.0
SimpleProduct,Oris Big Crown Grey Dial Men's Watch 01 114 7746 4063-Set 5 22 17FC,Oris,OUT_OF_STOCK,Oris 01 114 7746 4063-Set 5 22 17FC Mens,"Silver-tone stainless steel case with a grey fabric strap. Fixed silver-tone stainless steel bezel. Grey dial with silver-tone hands and Arabic numeral hour markers. Gmtmarkers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 9 o'clock position. Two sub-dials displaying:  small second and power reserve indicator. Oris Calibre 114 Hand Wind movement, containing 40 Jewels, bitting at 21600 vph, and has a power reserve of approximately 240 hours. Scratch resistant sapphire crystal. Screw down crown. Transparent case back. Round case shape, case size: 44 mm. Push button deployant buckle clasp. Water resistant at 100 meters / 330 feet. Functions: date, GMT, second time zone, hour, minute, small second, power reserve indicator. Big Crown Series. Luxury watch style. Watch label: Swiss Made. Oris Big Crown Grey Dial Men's Watch 01 114 7746 4063-Set 5 22 17FC.",Mens,Watches,6128.99,4350.0,6900.0
SimpleProduct,Carrera Green Browline Men's Sunglasses CARRERA 172/N/S 0003/QT 58,Carrera,IN_STOCK,Carrera CARRERA 172/N/S 0003/QT 58 Mens,Carrera Sunglasses. Series number: CARRERA 172/N/S. Color code: 0003/QT. Shape: Browline. Lens Width: 58 mm. Lens Bridge: 14 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Acetate. Frame Color: Matte Black. Lenses Type: Green. Rim Style: Full-Rim. UPC/EAN code: 716736438801. Carrera Green Browline Men's Sunglasses CARRERA 172/N/S 0003/QT 58. <br/><br/>Manufacturer's Packaging Included. Packaging Size And Color May Vary.,Mens,Sunglasses,167.99,49.99,198.0
SimpleProduct,Bvlgari Serpenti Tubogas 18kt Rose Gold Diamond Ladies Watch 103034,Bvlgari,IN_STOCK,Bvlgari 103034 Ladies,"18kt rose gold case with a 18kt rose gold bracelet set with diamonds. Fixed 18kt rose gold bezel set with diamonds. Mother of pearl dial with rose gold-tone hands and diamond hour markers. Dial Type: Analog. Date display at the 8 o'clock position. Automatic movement with a 42-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown with a V shaped ruby cabochon and set with a single diamond . Transparent case back. Round case shape. Case size: 33 mm. Fold over clasp with a push button release. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Serpenti Series. Dress watch style. Watch label: Swiss Made. Item Variations: LUP33WGDGD/11.T. Bvlgari Serpenti Tubogas 18kt Rose Gold Diamond Ladies Watch 103034.",Womens,Watches,19495.0,19495.0,38200.0
SimpleProduct,Citizen Quartz Grey Dial Stainless Steel Ladies Watch EU6090-54H,Citizen,OUT_OF_STOCK,Citizen EU6090-54H Ladies,"Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Grey dial with silver-tone hands and index hour markers. Dial Type: Analog. Date display at the 3 o'clock position. Citizen caliber G011 quartz movement. Scratch resistant mineral crystal. Pull / push crown. Solid case back. Round case shape. Case size: 28 mm. Case thickness: 6.5 mm. Band width: 14 mm. Deployment clasp with a push button release. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Casual watch style. Citizen Quartz Grey Dial Stainless Steel Ladies Watch EU6090-54H.",Womens,Watches,89.99,64.99,110.0
SimpleProduct,Pre-owned Tourneau Gotham Metro Automatic Ladies Watch 00124830293555,Tourneau,IN_STOCK,Tourneau 00124830293555 Ladies,"Silver-tone stainless steel case with a sharkskin band. Fixed silver-tone stainless steel bezel. Mother of pearl dial with blue hands and Roman numeral hour markers. Dial Type: Analog. Automatic movement. Transparent see through case back. Round case shape, case size: 35 mm. Band length: 7.5 inches. Fold over clasp with a safety release. Functions: hour, minute, second. Gotham Metro Series. Luxury watch style. Watch label: Swiss Made. Pre-owned Tourneau Gotham Metro Automatic Ladies Watch 00124830293555.",Womens,Watches,2606.99,950.0,3350.0
SimpleProduct,Tissot Everytime Large Black Dial Men's Watch T1096103605100,Tissot,OUT_OF_STOCK,Tissot T109.610.36.051.00 Mens,"Rose gold PVD stainless steel case with a black leather strap. Fixed rose gold PVD bezel. Black dial with rose gold-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. ETA caliber 902.101 quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Round case shape. Case size: 42 mm. Case thickness: 6.5 mm. Band width: 21 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute, second, battery eol indicator. Casual watch style. Watch label: Swiss Made. Tissot Everytime Large Black Dial Men's Watch T1096103605100.",Mens,Watches,266.99,149.99,325.0
SimpleProduct,Bell and Ross Automatic White Dial Men's Watch BR0392-D-WH-ST/SRB,Bell And Ross,IN_STOCK,Bell and Ross BR0392-D-WH-ST/SRB Mens,"Silver-tone stainless steel case with a black rubber strap. Uni-directional rotating silver-tone stainless steel with a black anodized aluminum inlay bezel. White dial with luminous black hands and dot hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display between the 4 and 5 o'clock positions. Bell & Ross Caliber BR-CAL.302 automatic movement with a 40-hour power reserve. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Square case shape, case size: 42 mm, case thickness: 12.05 mm. Tang clasp. Water resistant at 300 meters. Functions: date, hour, minute, second. Additional Info: comes with an additional black synthetic fabric strap. Luxury watch style. Watch label: Swiss Made. Bell and Ross Automatic White Dial Men's Watch BR0392-D-WH-ST/SRB.",Mens,Watches,2249.99,2249.99,3990.0
SimpleProduct,Pepe Jeans London Ladies Cocktail 3pc Gift Set Fragrances 8436581947434,Pepe Jeans London,IN_STOCK,Pepe Jeans London 8436581947434 Ladies,"<p>Transport yourself to a tropical paradise with the enchanting Pepe Jeans London Ladies Cocktail for Her Gift Set. Launched in 2019, this exquisite fragrance collection is designed to captivate and uplift your senses. Perfectly curated by the renowned design house Pepe Jeans London, this set includes a 30ml Eau de Toilette, a 50ml Body Milk, and a 50ml Shower Gel, offering an all-encompassing aromatic experience.</p>\n\n<p>The journey begins with the invigorating top notes of luscious pineapple, juicy raspberry, vibrant blueberry, and rich cassis, creating a refreshing introduction that immediately draws you in. At the heart of this fragrance, the delicate tiare flower and zesty lemon blossom blend seamlessly, adding a touch of floral elegance that exudes femininity and charm.</p>\n\n<p>As the scent unfolds, the base notes of spun sugar, sensual musk, warm amber, and creamy sandalwood leave a lingering trail of sweetness and sophistication. This unique combination provides a lasting impression that is both comforting and alluring, making it an ideal choice for any occasion.</p>\n\n<p>Whether you're treating yourself or gifting a loved one, the Pepe Jeans London Ladies Cocktail Gift Set is a delightful choice that celebrates individuality and style. Embrace the essence of this captivating fragrance and let it become a staple in your daily routine. Dive into the world of Pepe Jeans London and discover the magic of Cocktail for Her today.</p><p>This item is only valid for shipment in the Contiguous United States & Canada.</p>",Womens,Fragrances,75.99,17.99,90.0
GroupedProduct,Signature Onyx Unisex EDP,,OUT_OF_STOCK,,,Unisex,,48.99,48.99,0.0
